gene	meth_pos	meth_density	mean_meth
g5291	0	0	0
g5292	0	0	0
g5293	0	0	0
g5294	0	0	0
g5295	0	0	0
g5296	4	200	245.5
g5297	40	2000	0.15
g5298	0	0	0
g5299	0	0	0
g5300	0	0	0
g5301	0	0	0
g5302	0	0	0
g5303	0	0	0
g5304	0	0	0
g5305	0	0	0
g5306	2	100	0
g5307	0	0	0
g5308	385	19250	0.61
g5309	77	3850	0.27
g5310	194	9700	5.36
g5311	5	250	0.2
g5312	10	500	0.1
g5313	12	600	0.67
g5314	0	0	0
g5315	27	1350	0.07
g5316	9	450	0.11
g5317	14	700	0.07
g5318	6	300	0.17
g5319	27	1350	0.04
g5320	5	250	191.4
g5321	0	0	0
g5322	177	8850	0.2
g5323	0	0	0
g5324	0	0	0
g5325	77	3850	0.1
g5326	82	4100	24.84
g5327	0	0	0
g5328	60	3000	240.03
g5329	0	0	0
g5330	0	0	0
g5331	0	0	0
g5332	0	0	0
g5333	76	3800	0.22
g5334	0	0	0
g5335	7	350	0.29
g5336	0	0	0
g5337	9	450	0.11
g5338	7	350	0
g5339	0	0	0
g5340	0	0	0
g5341	0	0	0
g5342	3	150	170
g5343	0	0	0
g5344	37	1850	0.05
g5345	60	3000	45.67
g5346	15	750	0
g5347	0	0	0
g5348	0	0	0
g5349	0	0	0
g5350	84	4200	17.12
g5351	4	200	0
g5352	0	0	0
g5353	0	0	0
g5354	0	0	0
g5355	0	0	0
g5357	0	0	0
g5358	0	0	0
g5359	0	0	0
g5360	1	50	0
g5361	16	800	0.12
g5362	18	900	0.06
g5363	0	0	0
g5364	234	11700	1.16
g5365	14	700	128.86
g5366	0	0	0
g5367	0	0	0
g5368	0	0	0
g5369	0	0	0
g5370	0	0	0
g5371	0	0	0
g5372	0	0	0
g5373	25	1250	215.52
g5374	8	400	209
g5375	46	2300	0.48
g5376	0	0	0
g5377	129	6450	24.5
g5378	21	1050	41.9
g5379	80	4000	188.53
g5380	10	500	0
g5381	0	0	0
g5382	0	0	0
g5383	0	0	0
g5384	0	0	0
g5385	0	0	0
g5386	0	0	0
g5387	0	0	0
g5388	0	0	0
g5389	0	0	0
g5390	14	700	0.5
tRNA-Leu131_gene	0	0	0
tRNA-Leu130_gene	0	0	0
tRNA-Leu129_gene	0	0	0
tRNA-Leu128_gene	0	0	0
tRNA-Leu127_gene	0	0	0
g5391	0	0	0
g5392	0	0	0
g5393	0	0	0
g5394	8	400	2.25
g5395	10	500	0.1
g5396	33	1650	0.36
g5397	0	0	0
g5398	34	1700	0.15
g5399	0	0	0
g5400	16	800	11.75
g5401	57	2850	2.16
g5402	18	900	206.67
g5403	0	0	0
g5404	17	850	0.71
g5405	52	2600	0.1
g5407	51	2550	1.06
g5408	32	1600	0
g5409	0	0	0
g5410	8	400	0.12
g5411	72	3600	0.03
g5412	0	0	0
g5413	59	2950	24.8
g5414	53	2650	77.74
g5415	17	850	2.47
g5416	0	0	0
g5417	12	600	0
g5418	29	1450	0.21
g5419	7	350	50.29
g5420	30	1500	0.23
g5421	0	0	0
g5422	0	0	0
g5423	33	1650	0.36
g5424	0	0	0
g5425	0	0	0
g5426	0	0	0
g5427	0	0	0
g5428	1	50	100
g5429	2	100	109.5
g5430	0	0	0
g5431	0	0	0
g5432	0	0	0
g5433	0	0	0
g5434	3	150	141.33
g5435	6	300	0.17
g5436	1	50	0
g5437	0	0	0
g5438	0	0	0
g5439	0	0	0
g5440	0	0	0
g5441	6	300	88.67
g5442	61	3050	130.18
g5443	73	3650	2.11
g5444	0	0	0
g5445	0	0	0
g5446	0	0	0
g5447	2	100	85.5
g5448	76	3800	0.08
g5449	15	750	0.13
g5450	92	4600	0.13
g5451	12	600	0.25
g5452	0	0	0
g5453	0	0	0
g5454	0	0	0
g5455	0	0	0
g5456	0	0	0
g5457	47	2350	0.49
g5458	4	200	0.25
g5459	0	0	0
g5460	1	50	146
g5461	41	2050	0.83
g5462	11	550	0.36
g5463	4	200	0
g5464	6	300	0.33
g5465	11	550	0
g5466	0	0	0
g5467	106	5300	0.25
g5468	0	0	0
g5469	1	50	0
g5470	0	0	0
g5471	0	0	0
g5472	3	150	0
g5473	0	0	0
g5474	13	650	0
g5475	21	1050	25.1
g5476	15	750	22.07
g5477	0	0	0
g5478	13	650	0
g5479	3	150	0.33
g5480	0	0	0
g5481	0	0	0
g5482	0	0	0
g5483	0	0	0
g5484	89	4450	0.51
g5485	0	0	0
g5486	0	0	0
g5487	3	150	0
g5488	22	1100	2.77
g5489	42	2100	0.24
g5490	9	450	6.89
g5491	0	0	0
g5492	2	100	0
g5493	0	0	0
g5494	0	0	0
g5495	0	0	0
g5496	37	1850	0.08
g5497	94	4700	0.17
g5498	36	1800	0.08
g5499	0	0	0
g5500	21	1050	0.38
g5501	12	600	0
g5502	0	0	0
g5503	0	0	0
g5504	8	400	0.38
g5505	73	3650	52.96
g5506	0	0	0
g5507	0	0	0
g5508	3	150	0.33
g5509	7	350	0.14
g5510	0	0	0
g5511	10	500	0
g5512	0	0	0
g5513	1	50	27
g5515	0	0	0
g5516	3	150	0
g5517	0	0	0
g5518	0	0	0
g5519	0	0	0
g5520	0	0	0
g5521	0	0	0
g5522	0	0	0
g5523	0	0	0
g5524	21	1050	0
g5525	25	1250	0.08
g5526	22	1100	0.05
g5527	0	0	0
g5528	13	650	0.15
g5529	316	15800	0.28
g5530	0	0	0
g5531	1	50	93
g5532	0	0	0
g5533	0	0	0
g5534	146	7300	0.79
g5535	0	0	0
g5536	0	0	0
g5537	0	0	0
g5538	21	1050	0.19
g5539	0	0	0
g5540	0	0	0
g5541	0	0	0
g5542	0	0	0
g5543	0	0	0
g5544	6	300	0.17
g5545	16	800	140.56
g5546	2	100	212.5
g5547	0	0	0
g5548	7	350	0
g5549	0	0	0
g5550	0	0	0
g5551	1	50	0
g5552	0	0	0
g5553	6	300	0
g5554	0	0	0
g5555	0	0	0
g5556	0	0	0
g5557	0	0	0
g5558	0	0	0
g5559	14	700	0.14
g5560	11	550	9
g5561	0	0	0
g5562	29	1450	0.69
g5563	1	50	14
g5564	0	0	0
g5566	0	0	0
g5567	0	0	0
g5568	0	0	0
g5569	0	0	0
g5570	8	400	0.25
g5571	68	3400	0.13
g5572	0	0	0
g5573	45	2250	0
g5574	99	4950	0.15
g5575	229	11450	0.3
g5576	34	1700	0.29
g5577	0	0	0
g5578	1	50	1
g5579	0	0	0
g5580	2	100	182.5
g5581	1	50	1
g5582	22	1100	0.14
g5583	0	0	0
g5584	19	950	0.21
g5585	0	0	0
g5586	28	1400	0.11
g5587	32	1600	0.06
g5588	0	0	0
g5589	1	50	13
g5590	0	0	0
g5591	0	0	0
g5592	11	550	5.64
g5593	1	50	158
g5594	0	0	0
g5595	0	0	0
g5596	31	1550	0.29
g5597	0	0	0
g5598	0	0	0
g5599	3	150	80.33
g5600	2	100	101
g5601	13	650	56.92
g5602	0	0	0
g5603	5	250	146.6
g5604	7	350	240.14
g5605	0	0	0
g5606	11	550	0.18
g5607	1	50	1
g5608	1	50	0
g5609	7	350	0
g5610	27	1350	0.22
g5611	0	0	0
g5612	9	450	0.44
g5613	0	0	0
g5614	25	1250	40.4
g5615	1	50	0
g5616	6	300	106.17
g5617	1	50	26
g5618	1	50	21
g5619	0	0	0
g5620	0	0	0
g5621	0	0	0
g5622	9	450	0
g5623	49	2450	0.06
g5624	0	0	0
g5625	1	50	164
g5626	49	2450	0.08
g5627	1	50	0
g5628	62	3100	0.11
g5629	15	750	0.07
g5630	21	1050	0.14
g5631	35	1750	138.91
g5632	0	0	0
g5633	0	0	0
g5634	3	150	0
g5635	0	0	0
g5636	0	0	0
g5637	0	0	0
g5638	0	0	0
g5639	0	0	0
g5640	0	0	0
g5641	0	0	0
g5642	0	0	0
g5643	4	200	162.25
g5644	0	0	0
g5645	3	150	0.33
g5646	21	1050	8.81
g5647	0	0	0
g5648	10	500	1.9
g5649	0	0	0
g5650	18	900	10.5
g5651	1	50	0
g5652	0	0	0
g5653	9	450	0
g5654	3	150	1
g5655	3	150	187
g5656	0	0	0
g5657	27	1350	6.63
g5658	0	0	0
g5659	19	950	52.74
g5660	0	0	0
g5661	0	0	0
g5662	0	0	0
g5663	65	3250	24.54
g5664	1	50	198
g5665	0	0	0
g5666	0	0	0
g5667	0	0	0
g5668	9	450	0.22
g5669	1	50	0
g5670	0	0	0
g5671	0	0	0
g5672	0	0	0
g5673	0	0	0
g5674	0	0	0
g5675	13	650	12
g5676	60	3000	0.25
g5677	0	0	0
g5678	0	0	0
g5679	0	0	0
g5680	11	550	0
g5681	18	900	0.06
g5682	4	200	0
g5683	0	0	0
g5684	2	100	199.5
g5685	44	2200	0.25
g5686	0	0	0
g5687	0	0	0
g5688	0	0	0
g5689	10	500	0
g5690	17	850	0
g5691	13	650	2.62
g5692	5	250	0
g5693	1	50	0
g5694	0	0	0
g5695	0	0	0
g5696	62	3100	1.92
g5697	36	1800	70.97
g5698	3	150	1
g5699	0	0	0
g5700	17	850	0.29
g5701	65	3250	0.31
g5702	0	0	0
g5703	7	350	0.57
g5704	35	1750	0.97
g5705	4	200	1.25
g5706	7	350	0.14
g5707	3	150	0
g5708	4	200	43.75
g5709	27	1350	0.04
g5710	3	150	0
g5711	0	0	0
g5712	0	0	0
g5713	0	0	0
g5714	7	350	6.57
g5715	6	300	0
g5716	1	50	0
g5717	19	950	0.16
g5718	36	1800	0.14
g5719	0	0	0
g5720	2	100	0
g5721	0	0	0
g5722	0	0	0
g5723	2	100	200
g5724	2	100	0
g5725	0	0	0
g5726	35	1750	0
g5727	52	2600	0
g5728	180	9000	11.77
g5729	106	5300	8.09
tRNA-Ala138_gene	6	300	2.17
tRNA-Asp132_gene	7	350	4.86
tRNA-Ile133_gene	4	200	1.5
tRNA-Thr137_gene	2	100	1.5
tRNA-Ala136_gene	6	300	12.17
tRNA-Asp134_gene	7	350	6.29
tRNA-Ile135_gene	4	200	1.5
g5730	0	0	0
g5731	58	2900	0.33
g5732	31	1550	118.71
g5733	320	16000	0.49
g5734	86	4300	0.3
g5735	0	0	0
g5736	6	300	0
g5737	16	800	0
g5738	146	7300	0.09
g5739	0	0	0
g5740	0	0	0
g5741	35	1750	141.63
g5742	0	0	0
g5743	0	0	0
g5744	0	0	0
g5745	0	0	0
g5746	76	3800	0.07
g5747	0	0	0
g5748	0	0	0
g5749	14	700	12.29
g5750	58	2900	0.03
g5751	3	150	0
g5752	25	1250	1.04
g5753	31	1550	0.13
g5754	19	950	0
g5755	33	1650	0.18
g5756	0	0	0
g5757	0	0	0
g5758	0	0	0
g5759	0	0	0
g5760	0	0	0
g5761	0	0	0
g5762	0	0	0
g5763	6	300	139
g5764	2	100	135.5
g5765	1	50	0
g5766	32	1600	0.09
g5767	13	650	0.08
g5768	0	0	0
g5769	0	0	0
tRNA-Glu155_gene	0	0	0
tRNA-Val154_gene	5	250	3.4
tRNA-Glu153_gene	7	350	1.86
tRNA-Val152_gene	7	350	8
tRNA-Glu151_gene	7	350	9.14
tRNA-Val150_gene	5	250	4.8
tRNA-Glu149_gene	7	350	2.86
tRNA-Val148_gene	7	350	8.57
tRNA-Glu147_gene	7	350	5
tRNA-Val146_gene	5	250	6
tRNA-Glu145_gene	7	350	3
tRNA-Val144_gene	7	350	3.57
tRNA-Val143_gene	5	250	1.2
tRNA-Glu142_gene	7	350	1.29
tRNA-Val141_gene	3	150	4.33
tRNA-Glu140_gene	7	350	2.29
tRNA-Val139_gene	0	0	0
g5770	49	2450	0.08
g5771	104	5200	0.06
g5772	0	0	0
g5773	0	0	0
g5774	0	0	0
g5775	0	0	0
g5776	0	0	0
g5777	1	50	13
g5778	18	900	29.56
g5779	0	0	0
g5780	4	200	0
g5781	0	0	0
g5782	0	0	0
g5783	0	0	0
g5784	0	0	0
g5785	26	1300	0.15
g5786	4	200	0.25
g5787	0	0	0
g5788	9	450	126.44
g5789	16	800	128.38
g5790	3	150	32.33
g5791	19	950	10.05
g5792	8	400	43.12
g5793	21	1050	0.43
g5794	53	2650	0.09
g5795	0	0	0
g5796	30	1500	28.43
g5797	1	50	169
g5798	5	250	0
g5799	12	600	183.42
g5800	1	50	174
g5801	0	0	0
g5802	0	0	0
g5803	0	0	0
g5804	0	0	0
g5805	0	0	0
g5806	0	0	0
g5807	0	0	0
g5808	0	0	0
g5809	42	2100	80.12
g5810	0	0	0
g5811	0	0	0
g5812	0	0	0
g5813	0	0	0
g5814	0	0	0
g5815	0	0	0
g5816	50	2500	6.7
g5817	0	0	0
g5818	0	0	0
g5819	0	0	0
g5820	0	0	0
g5821	0	0	0
g5822	121	6050	254.35
g5823	77	3850	70.48
g5824	0	0	0
g5825	0	0	0
g5826	0	0	0
g5827	0	0	0
g5828	0	0	0
g5829	2	100	41.5
g5830	73	3650	0.07
g5831	52	2600	2.98
g5832	34	1700	1.44
g5833	28	1400	0.07
g5834	0	0	0
g5835	0	0	0
g5836	0	0	0
g5837	0	0	0
g5838	0	0	0
g5839	0	0	0
g5840	0	0	0
g5841	6	300	0
g5842	252	12600	0.39
g5843	21	1050	49.38
g5844	23	1150	52.52
g5845	0	0	0
g5846	0	0	0
g5847	0	0	0
g5848	0	0	0
g5849	10	500	86.8
g5850	0	0	0
g5851	0	0	0
g5852	76	3800	36.93
g5853	0	0	0
g5854	34	1700	2253.47
g5855	2	100	928.5
g5856	4	200	51.75
g5857	22	1100	0.41
g5858	0	0	0
g5859	5	250	181.2
g5860	78	3900	0.29
g5861	0	0	0
g5862	0	0	0
g5863	0	0	0
g5864	0	0	0
g5865	2	100	0
g5866	0	0	0
g5867	0	0	0
g5868	2	100	0
g5869	11	550	0.64
g5870	9	450	0.44
g5871	0	0	0
g5872	21	1050	10.29
g5873	54	2700	0.09
g5874	16	800	0.06
g5875	90	4500	1.77
g5876	114	5700	6.32
g5877	12	600	0
g5878	0	0	0
g5879	15	750	0.47
g5880	1	50	175
g5881	32	1600	54.16
g5882	0	0	0
g5883	0	0	0
g5884	0	0	0
g5885	4	200	0
g5886	14	700	0.07
g5887	7	350	0
g5888	38	1900	0.03
g5889	0	0	0
g5890	0	0	0
g5891	0	0	0
g5892	0	0	0
g5893	0	0	0
g5894	0	0	0
g5895	4	200	44.5
g5896	2	100	0
g5897	0	0	0
g5898	0	0	0
g5899	12	600	1.17
g5900	1	50	0
g5901	0	0	0
g5902	0	0	0
g5903	0	0	0
g5904	18	900	199.11
g5905	1	50	57
g5906	2	100	84
g5907	1	50	205
g5908	0	0	0
g5909	6	300	191.33
g5910	10	500	191.3
g5911	0	0	0
g5912	1	50	247
g5913	0	0	0
g5914	64	3200	45.45
g5915	14	700	160.57
g5916	7	350	0
g5917	18	900	91.83
g5918	40	2000	0.1
g5919	12	600	0.08
g5920	2	100	0
g5921	36	1800	0.06
g5922	0	0	0
g5923	0	0	0
g5924	0	0	0
g5925	17	850	0
g5926	0	0	0
g5927	41	2050	0.12
g5928	42	2100	35.14
g5929	0	0	0
g5930	25	1250	0.2
g5931	0	0	0
g5932	5	250	0
g5933	118	5900	4.56
g5934	37	1850	0.11
g5935	34	1700	9.97
g5936	31	1550	0.03
g5937	24	1200	0
g5938	0	0	0
g5939	0	0	0
g5940	6	300	0.17
g5941	129	6450	0.78
g5942	22	1100	0.55
g5943	274	13700	1.79
g5944	0	0	0
g5945	113	5650	2
g5946	73	3650	0.07
g5947	2	100	0
g5948	0	0	0
g5949	1	50	73
g5950	0	0	0
g5951	0	0	0
g5952	0	0	0
g5953	373	18650	1.46
g5954	0	0	0
g5955	21	1050	0.05
g5956	4	200	0
g5957	35	1750	0.2
g5958	0	0	0
g5959	47	2350	0.09
g5960	46	2300	0.15
g5961	22	1100	0.14
g5962	6	300	0
g5963	9	450	0.22
g5964	0	0	0
g5965	0	0	0
g5966	0	0	0
g5967	150	7500	0.27
g5968	48	2400	0.12
g5969	6	300	0.17
g5970	0	0	0
g5971	0	0	0
g5972	0	0	0
g5973	0	0	0
g5974	0	0	0
g5975	6	300	0
g5976	0	0	0
g5977	41	2050	3.76
g5978	0	0	0
g5979	0	0	0
g5980	0	0	0
g5981	31	1550	309.71
g5982	0	0	0
g5983	121	6050	0.03
g5984	0	0	0
g5985	0	0	0
g5986	0	0	0
g5987	79	3950	3.19
g5988	3	150	0
g5989	0	0	0
g5990	33	1650	0.45
g5991	0	0	0
g5992	0	0	0
g5993	0	0	0
g5994	15	750	0.07
g5995	179	8950	4.3
g5996	11	550	0.36
g5997	40	2000	0.95
g5998	71	3550	0.15
g5999	0	0	0
g6000	166	8300	0.59
g6001	57	2850	3.77
g6002	1	50	0
g6003	0	0	0
g6004	0	0	0
g6005	0	0	0
g6006	42	2100	0.07
g6007	63	3150	23.02
g6008	0	0	0
g6009	4	200	156.75
g6010	0	0	0
g6011	8	400	142
g6012	1	50	0
g6013	25	1250	0.04
g6014	2	100	0
g6015	0	0	0
g6016	16	800	16.31
g6017	21	1050	0.1
g6018	0	0	0
g6019	0	0	0
g6020	0	0	0
g6021	0	0	0
g6022	1	50	0
g6023	0	0	0
g6024	7	350	0.14
g6025	0	0	0
g6026	0	0	0
g6027	70	3500	0.29
g6028	24	1200	6.42
g6029	6	300	0
g6030	4	200	0.25
g6031	0	0	0
g6032	0	0	0
g6033	0	0	0
g6034	0	0	0
g6035	0	0	0
g6036	0	0	0
g6037	0	0	0
g6038	0	0	0
g6039	0	0	0
g6040	9	450	0.67
g6041	14	700	0.07
g6042	3	150	72.33
g6043	71	3550	0.08
g6044	13	650	0
g6045	1	50	0
g6046	41	2050	0.27
g6047	63	3150	0.08
g6048	29	1450	0.52
g6049	85	4250	0.2
g6050	0	0	0
g6051	6	300	6.5
g6052	0	0	0
g6053	0	0	0
g6054	0	0	0
g6055	0	0	0
g6056	0	0	0
g6057	0	0	0
g6058	0	0	0
g6059	0	0	0
g6060	0	0	0
g6061	114	5700	5.88
g6062	0	0	0
g6063	22	1100	129.09
g6064	0	0	0
g6065	0	0	0
g6066	6	300	0.17
g6067	2	100	159.5
g6068	0	0	0
g6069	0	0	0
g6070	0	0	0
g6071	1	50	124
g6072	0	0	0
g6073	146	7300	10.84
g6074	0	0	0
g6075	1	50	20
g6076	14	700	0.07
g6077	21	1050	0
g6078	0	0	0
g6079	1	50	0
g6080	13	650	4.31
g6081	0	0	0
g6082	143	7150	4.45
g6083	36	1800	0
g6084	23	1150	3.61
g6085	1	50	43
g6086	479	23950	0.32
g6087	0	0	0
g6088	14	700	167.21
g6089	35	1750	0.17
g6090	0	0	0
g6091	28	1400	0.18
g6092	0	0	0
g6093	58	2900	0.02
g6094	0	0	0
g6095	33	1650	334.85
g6096	29	1450	279.55
g6097	12	600	0
g6098	27	1350	0.11
g6099	28	1400	0.39
g6100	0	0	0
g6101	7	350	0
g6102	0	0	0
g6103	99	4950	0.31
g6104	0	0	0
g6105	160	8000	107.35
g6106	12	600	0.33
g6107	5	250	0
g6108	2	100	0
g6109	21	1050	0.05
g6110	14	700	0.14
g6111	21	1050	0.05
g6112	7	350	0
g6113	0	0	0
g6114	61	3050	0.23
g6115	1	50	0
g6116	0	0	0
g6117	41	2050	6.1
g6118	0	0	0
g6119	0	0	0
g6120	4	200	0
g6121	103	5150	0.38
g6122	0	0	0
g6123	0	0	0
g6124	0	0	0
g6125	0	0	0
g6126	22	1100	2.23
g6127	0	0	0
g6128	0	0	0
g6129	0	0	0
g6130	10	500	92
g6131	0	0	0
g6132	0	0	0
g6133	12	600	0
g6134	33	1650	0.06
g6135	5	250	0.2
g6136	43	2150	0.02
g6137	0	0	0
g6138	150	7500	0.16
g6139	0	0	0
g6140	0	0	0
g6141	17	850	0.29
g6142	22	1100	0
g6143	4	200	0.25
g6144	16	800	0.06
g6145	13	650	0.08
g6146	69	3450	0.1
g6147	6	300	0
g6148	18	900	21.17
g6149	26	1300	0.12
g6150	4	200	0
g6151	5	250	0
g6152	48	2400	0.19
g6153	0	0	0
g6154	0	0	0
g6155	0	0	0
g6156	0	0	0
g6157	3	150	8
g6158	0	0	0
g6159	0	0	0
g6160	0	0	0
g6161	0	0	0
g6162	1	50	141
g6163	0	0	0
g6164	23	1150	0.04
g6165	149	7450	0.11
g6166	0	0	0
g6167	0	0	0
g6168	14	700	0.21
g6169	0	0	0
g6170	7	350	0
g6171	1	50	0
g6172	13	650	0.15
g6173	6	300	0.17
g6174	17	850	0
g6175	0	0	0
g6176	0	0	0
g6177	0	0	0
g6178	0	0	0
g6179	0	0	0
g6180	0	0	0
g6181	0	0	0
g6182	0	0	0
g6183	0	0	0
g6184	0	0	0
g6185	0	0	0
g6186	13	650	0.08
g6187	13	650	0
g6188	0	0	0
g6189	0	0	0
g6190	18	900	0.17
g6191	54	2700	1.65
g6192	2	100	0.5
g6193	0	0	0
g6194	0	0	0
g6195	0	0	0
g6196	0	0	0
g6197	72	3600	5.85
g6198	248	12400	1.56
g6199	90	4500	1.08
g6200	9	450	0
g6201	0	0	0
g6202	6	300	15.83
g6203	0	0	0
g6204	4	200	0
g6205	6	300	0
g6206	7	350	0.57
g6207	86	4300	0.1
g6208	115	5750	13.5
g6209	80	4000	0.19
g6210	0	0	0
g6211	0	0	0
g6212	16	800	0
g6213	1	50	0
g6214	32	1600	15.88
g6215	8	400	0
g6216	57	2850	0.11
g6217	0	0	0
g6218	0	0	0
g6219	0	0	0
g6220	154	7700	0.29
g6221	19	950	0.16
g6222	0	0	0
g6223	65	3250	0.72
g6224	29	1450	0
g6225	10	500	2.2
g6226	0	0	0
g6227	4	200	87.75
g6228	45	2250	0.04
g6229	55	2750	0.07
g6230	20	1000	0
g6231	93	4650	0.47
g6232	54	2700	5.83
g6233	21	1050	0.05
g6234	2	100	33.5
g6235	0	0	0
g6236	0	0	0
g6237	0	0	0
g6238	0	0	0
g6239	0	0	0
g6240	10	500	0
g6241	0	0	0
g6242	16	800	0.06
g6243	23	1150	0
g6244	0	0	0
g6245	44	2200	2.7
g6246	0	0	0
g6247	69	3450	11.54
g6248	0	0	0
g6249	138	6900	0.14
g6250	4	200	474.25
g6251	0	0	0
g6252	0	0	0
g6253	18	900	0.28
g6254	103	5150	2.31
g6255	0	0	0
g6256	5	250	24.6
g6257	0	0	0
g6258	0	0	0
g6259	0	0	0
g6260	5	250	34.6
g6261	24	1200	0.12
g6262	0	0	0
g6263	0	0	0
g6264	0	0	0
g6265	0	0	0
g6266	0	0	0
g6267	65	3250	8.02
g6268	6	300	167.83
g6269	56	2800	3.16
g6270	9	450	0
g6271	28	1400	0.11
g6272	74	3700	0.08
g6273	167	8350	0.09
g6274	34	1700	0.06
g6275	88	4400	0.1
g6276	2	100	0
g6277	92	4600	0.14
g6278	13	650	0.38
g6279	131	6550	0.12
g6280	0	0	0
g6281	5	250	172.6
g6282	61	3050	21.05
g6283	6	300	0
g6284	0	0	0
g6285	0	0	0
g6286	0	0	0
g6287	0	0	0
g6288	10	500	0
g6289	0	0	0
g6290	0	0	0
g6291	0	0	0
g6292	54	2700	0.02
g6293	4	200	0
g6294	35	1750	12.49
g6295	25	1250	80.4
g6296	18	900	23.28
g6297	0	0	0
g6298	0	0	0
g6299	0	0	0
g6300	1	50	0
g6301	3	150	0
g6302	59	2950	0.15
g6303	17	850	0.18
g6304	151	7550	7.83
g6305	0	0	0
g6306	0	0	0
g6307	2	100	0
g6308	0	0	0
g6309	19	950	0
g6310	65	3250	0.06
g6311	19	950	0.05
g6312	17	850	0
g6313	0	0	0
g6314	40	2000	0.2
g6315	0	0	0
g6316	16	800	0
g6317	2	100	3
g6318	0	0	0
g6319	11	550	49.45
g6320	28	1400	15
g6321	0	0	0
g6322	0	0	0
g6323	1	50	0
g6324	0	0	0
g6325	0	0	0
g6326	13	650	0
g6327	0	0	0
g6328	0	0	0
g6329	0	0	0
g6330	72	3600	1.93
g6331	0	0	0
g6332	0	0	0
g6333	0	0	0
g6334	12	600	0
g6335	0	0	0
g6336	60	3000	0.42
g6337	0	0	0
g6338	0	0	0
g6339	39	1950	0.36
g6340	124	6200	0.36
g6341	28	1400	0
g6342	0	0	0
g6343	0	0	0
g6344	0	0	0
g6345	2	100	37.5
g6346	88	4400	148.93
g6347	0	0	0
g6348	0	0	0
g6349	40	2000	85.25
g6350	3	150	177.33
g6351	0	0	0
g6352	0	0	0
g6353	0	0	0
g6354	0	0	0
g6355	0	0	0
g6356	20	1000	0.25
g6357	109	5450	0.54
g6358	8	400	0
g6359	27	1350	0.04
g6360	0	0	0
g6361	0	0	0
g6362	0	0	0
g6363	0	0	0
g6364	0	0	0
g6365	0	0	0
g6366	0	0	0
g6367	0	0	0
g6368	49	2450	0.24
g6369	52	2600	0.08
g6370	78	3900	2.46
g6371	0	0	0
g6372	0	0	0
g6373	0	0	0
g6374	0	0	0
g6375	28	1400	0.07
g6376	14	700	0.14
g6377	0	0	0
g6378	0	0	0
g6379	0	0	0
g6380	0	0	0
g6381	136	6800	0.3
g6382	47	2350	0.04
g6383	59	2950	0.03
g6384	6	300	0.17
g6385	0	0	0
g6386	16	800	0.19
g6387	97	4850	22.06
g6388	37	1850	0
g6389	74	3700	0.38
g6390	107	5350	17.81
g6391	123	6150	8.02
g6392	7	350	0
g6393	10	500	0
g6394	47	2350	0.19
g6395	0	0	0
g6396	51	2550	3.33
g6397	0	0	0
g6398	0	0	0
g6399	21	1050	0.29
g6400	24	1200	0.04
g6401	17	850	0
g6402	55	2750	0.15
g6403	0	0	0
g6404	0	0	0
g6405	56	2800	0.96
g6406	0	0	0
g6407	0	0	0
g6408	0	0	0
g6409	10	500	0
g6410	12	600	7.42
g6411	0	0	0
g6412	83	4150	0.14
g6413	82	4100	0.15
g6414	89	4450	0.16
g6415	68	3400	0.13
g6416	0	0	0
g6417	0	0	0
g6418	0	0	0
g6419	0	0	0
g6420	0	0	0
g6421	13	650	1.54
g6422	7	350	0.14
g6423	0	0	0
g6424	0	0	0
g6425	38	1900	0.08
g6426	1	50	1
g6427	30	1500	0.07
g6428	10	500	0.2
g6429	2	100	2.5
g6430	40	2000	0.2
g6431	30	1500	0.13
g6432	1	50	1
g6433	0	0	0
g6434	25	1250	0.12
g6435	2	100	0.5
g6436	0	0	0
g6437	0	0	0
g6438	0	0	0
g6439	17	850	0.29
g6440	3	150	215
g6441	62	3100	0.24
g6442	14	700	0.14
g6443	48	2400	4.33
g6444	0	0	0
g6445	0	0	0
g6446	14	700	0.5
g6447	6	300	0.33
g6448	63	3150	4.84
g6449	0	0	0
g6450	0	0	0
g6451	2	100	113.5
g6452	2	100	111.5
g6453	0	0	0
g6454	0	0	0
g6455	0	0	0
g6456	0	0	0
g6457	0	0	0
g6458	0	0	0
g6459	0	0	0
g6460	0	0	0
g6461	126	6300	1.24
g6462	0	0	0
g6463	19	950	0.32
g6464	0	0	0
g6465	0	0	0
g6466	3	150	197.67
g6467	0	0	0
g6468	0	0	0
g6469	0	0	0
g6470	53	2650	0.04
g6471	3	150	0
g6472	0	0	0
g6473	0	0	0
g6474	0	0	0
g6475	4	200	0.25
g6476	72	3600	5.58
g6477	13	650	213.08
g6478	1	50	163
g6479	89	4450	0.33
g6480	20	1000	11.1
g6481	70	3500	2.59
g6482	26	1300	8.19
g6483	25	1250	35.6
g6484	0	0	0
g6485	7	350	0.14
g6486	49	2450	0.47
g6487	55	2750	0.69
g6488	5	250	218
g6489	0	0	0
g6490	0	0	0
g6491	28	1400	99.89
g6492	15	750	0.13
g6493	32	1600	0.06
g6494	0	0	0
g6495	111	5550	0.33
g6496	0	0	0
g6497	1	50	0
g6498	0	0	0
g6499	137	6850	3.43
g6500	0	0	0
g6501	0	0	0
g6502	0	0	0
g6503	9	450	0.11
g6504	30	1500	0.03
g6505	1	50	0
g6506	11	550	0
g6507	28	1400	0.04
g6508	41	2050	91.85
g6509	5	250	37
g6510	0	0	0
g6511	4	200	93.75
g6512	6	300	166
